"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2013","22.22","22.18","23.22","21.91","1.03B","0.84%"
"06/01/2013","22.03","21.85","22.79","21.20","972.01M","1.05%"
"05/01/2013","21.80","20.60","23.04","20.43","989.06M","5.66%"
"04/01/2013","20.63","19.89","20.71","19.05","1.07B","3.83%"
"03/01/2013","19.87","19.96","21.12","19.85","851.20M","-0.88%"
"02/01/2013","20.05","18.97","20.24","18.97","927.25M","6.02%"
"01/01/2013","18.91","18.00","19.04","17.40","1.05B","6.83%"
"12/01/2012","17.70","17.57","18.47","17.07","834.17M","1.29%"
"11/01/2012","17.48","17.00","17.50","15.92","933.83M","2.66%"
"10/01/2012","17.02","18.99","19.38","16.76","1.44B","-9.83%"
"09/01/2012","18.88","17.13","19.14","16.85","1.20B","10.13%"
"08/01/2012","17.14","15.95","17.24","15.60","941.44M","8.23%"
"07/01/2012","15.84","14.56","16.08","14.07","1.03B","9.12%"
"06/01/2012","14.52","14.31","14.71","13.93","930.38M","-0.17%"
"05/01/2012","14.54","15.11","15.96","14.49","1.17B","-3.96%"
"04/01/2012","15.14","16.03","16.34","14.77","1.18B","-5.67%"
"03/01/2012","16.05","15.57","16.48","14.86","946.81M","3.75%"
"02/01/2012","15.47","14.64","15.66","14.49","947.45M","6.54%"
"01/01/2012","14.52","16.34","16.77","14.13","1.47B","-10.15%"
"12/01/2011","16.16","15.01","16.18","14.99","1.10B","7.73%"
"11/01/2011","15.00","14.52","15.47","14.05","1.21B","1.15%"
"10/01/2011","14.83","12.76","15.08","12.03","1.54B","15.05%"
"09/01/2011","12.89","13.53","13.98","12.77","1.17B","-4.80%"
"08/01/2011","13.54","15.30","15.40","12.28","2.14B","-10.39%"
"07/01/2011","15.11","12.68","15.70","12.67","1.62B","19.26%"
"06/01/2011","12.67","13.21","13.34","11.84","1.18B","-4.31%"
"05/01/2011","13.24","13.66","13.66","12.85","905.42M","-2.79%"
"04/01/2011","13.62","14.73","14.89","12.99","1.41B","-7.22%"
"03/01/2011","14.68","15.46","15.50","13.80","1.20B","-4.36%"
"02/01/2011","15.35","15.13","15.79","15.05","838.07M","2.20%"
"01/01/2011","15.02","14.93","16.09","14.90","1.20B","1.08%"
"12/01/2010","14.86","14.09","15.19","14.07","846.30M","6.83%"
"11/01/2010","13.91","15.41","15.79","13.85","1.17B","-9.44%"
"10/01/2010","15.36","13.26","15.63","12.98","1.59B","16.72%"
"09/01/2010","13.16","11.39","13.43","11.32","1.20B","16.87%"
"08/01/2010","11.26","12.24","12.73","11.20","1.06B","-7.17%"
"07/01/2010","12.13","11.14","12.45","10.85","1.39B","8.98%"
"06/01/2010","11.13","12.02","12.74","11.13","1.20B","-8.40%"
"05/01/2010","12.15","13.18","13.34","11.51","1.63B","-7.67%"
"04/01/2010","13.16","14.30","14.96","13.04","1.46B","-7.26%"
"03/01/2010","14.19","13.24","14.72","13.21","1.68B","7.66%"
"02/01/2010","13.18","13.38","13.70","13.01","1.04B","-0.60%"
"01/01/2010","13.26","15.69","15.75","13.15","1.78B","-14.51%"
"12/01/2009","15.51","14.72","15.66","14.49","852.91M","6.31%"
"11/01/2009","14.59","13.44","14.69","13.22","818.53M","8.72%"
"10/01/2009","13.42","12.34","14.05","12.08","1.54B","8.14%"
"09/01/2009","12.41","11.50","12.69","11.33","1.02B","7.45%"
"08/01/2009","11.55","11.23","11.87","10.97","975.48M","4.15%"
"07/01/2009","11.09","10.62","11.33","9.91","1.46B","5.12%"
"06/01/2009","10.55","10.48","11.19","10.06","1.41B","1.05%"
"05/01/2009","10.44","9.89","10.44","9.63","1.14B","5.35%"
"04/01/2009","9.91","8.60","10.10","8.52","1.76B","13.78%"
"03/01/2009","8.71","8.34","8.99","7.24","2.29B","2.96%"
"02/01/2009","8.46","8.37","9.53","8.25","2.23B","-0.12%"
"01/01/2009","8.47","7.72","8.82","7.08","2.20B","10.00%"
"12/01/2008","7.70","7.17","8.25","6.57","2.26B","5.05%"
"11/01/2008","7.33","8.95","9.32","6.19","3.16B","-18.46%"
"10/01/2008","8.99","10.29","10.43","7.74","3.99B","-10.28%"
"09/01/2008","10.02","11.93","12.07","9.53","2.80B","-13.55%"
"08/01/2008","11.59","11.82","12.78","11.56","1.38B","-2.28%"
"07/01/2008","11.86","13.00","13.91","11.65","2.08B","-9.95%"
"06/01/2008","13.17","14.58","14.72","12.89","1.88B","-10.16%"
"05/01/2008","14.66","14.47","15.08","13.46","2.09B","2.02%"
"04/01/2008","14.37","11.20","14.64","11.04","2.86B","30.40%"
"03/01/2008","11.02","11.80","11.83","10.31","2.91B","-6.53%"
"02/01/2008","11.79","13.24","13.54","11.18","3.54B","-16.50%"
"01/01/2008","14.12","17.34","17.45","12.99","3.16B","-18.38%"
"12/01/2007","17.30","17.29","18.14","16.33","1.71B","-0.23%"
"11/01/2007","17.34","17.59","18.70","15.42","3.43B","-1.98%"
"10/01/2007","17.69","14.26","17.69","14.25","3.11B","24.58%"
"09/01/2007","14.20","12.89","14.31","12.78","1.39B","10.16%"
"08/01/2007","12.89","12.77","13.18","12.02","1.77B","1.02%"
"07/01/2007","12.76","13.15","13.98","12.48","2.34B","-2.45%"
"06/01/2007","13.08","12.54","13.39","12.45","2.59B","4.98%"
"05/01/2007","12.46","11.82","12.73","11.45","2.00B","5.59%"
"04/01/2007","11.80","11.46","12.32","11.31","1.87B","2.88%"
"03/01/2007","11.47","11.08","11.66","10.94","2.37B","1.96%"
"02/01/2007","11.25","12.66","12.66","11.09","2.28B","-10.36%"
"01/01/2007","12.55","11.65","12.84","11.54","2.50B","8.94%"
"12/01/2006","11.52","12.16","12.32","11.32","1.84B","-5.03%"
"11/01/2006","12.13","11.98","12.84","11.64","2.37B","1.76%"
"10/01/2006","11.92","10.06","12.31","9.96","3.18B","18.49%"
"09/01/2006","10.06","9.53","10.48","9.43","2.43B","6.23%"
"08/01/2006","9.47","9.64","9.76","9.09","2.14B","-2.07%"
"07/01/2006","9.67","10.51","10.71","9.45","2.55B","-7.82%"
"06/01/2006","10.49","9.35","10.49","9.30","2.85B","12.80%"
"05/01/2006","9.30","10.47","10.50","9.02","3.50B","-11.09%"
"04/01/2006","10.46","9.75","11.28","9.71","3.71B","7.17%"
"03/01/2006","9.76","9.22","9.98","8.30","6.15B","7.61%"
"02/01/2006","9.07","9.74","10.17","8.45","5.95B","-16.25%"
"01/01/2006","10.83","10.57","11.89","9.88","5.99B","4.34%"
"12/01/2005","10.38","10.24","11.17","9.98","3.97B","2.47%"
"11/01/2005","10.13","9.31","10.79","9.23","4.24B","8.81%"
"10/01/2005","9.31","7.85","9.38","7.27","3.88B","17.55%"
"09/01/2005","7.92","7.15","8.03","7.13","3.41B","10.61%"
"08/01/2005","7.16","7.21","7.50","6.84","2.87B","-0.56%"
"07/01/2005","7.20","7.38","7.95","7.18","4.14B","-2.17%"
"06/01/2005","7.36","7.09","7.74","6.69","7.84B","6.05%"
"05/01/2005","6.94","5.56","6.97","5.51","5.09B","25.95%"
"04/01/2005","5.51","4.55","5.62","4.50","4.56B","21.90%"
"03/01/2005","4.52","4.74","4.75","4.32","3.45B","-3.83%"
"02/01/2005","4.70","4.86","5.43","4.53","6.53B","-4.08%"
"01/01/2005","4.90","4.94","5.14","4.41","4.11B","1.66%"
"12/01/2004","4.82","4.55","5.00","4.22","2.91B","5.93%"
"11/01/2004","4.55","4.84","5.04","4.04","5.56B","-4.61%"
"10/01/2004","4.77","3.27","5.00","3.23","5.15B","47.22%"
"09/01/2004","3.24","2.57","3.38","2.48","2.13B","26.56%"
